TargetID, TargetX, TargetY
1, 100.98543689320388, 100.98543689320388
2, 119.47619047619047, 119.47619047619047
3, 208.7222222222222, 208.7222222222222
4, 262.35335689045934, 262.35335689045934


RobotID, TrajectoryX, TrajectoryY
1, 61.66454352441613, 61.66454352441613
1, 55.78036253053014, 55.78036253053014
1, 49.89618153664416, 49.89618153664416
1, 38.12781954887218, 38.12781954887218
1, 44.01200054275817, 44.01200054275817
1, 49.89618153664416, 49.89618153664416
1, 61.66454352441613, 61.66454352441613
1, 55.78036253053014, 55.78036253053014
1, 49.89618153664416, 49.89618153664416
1, 40.87781954887218, 40.87781954887218
1, 44.72616004581518, 44.72616004581518
1, 48.57450054275817, 48.57450054275817
1, 52.42284103970116, 52.42284103970116
1, 56.27118153664416, 56.27118153664416
1, 60.11952203358715, 60.11952203358715
1, 63.96786253053014, 63.96786253053014
1, 71.66454352441613, 71.66454352441613
1, 67.81620302747314, 67.81620302747314
1, 63.96786253053014, 63.96786253053014
1, 60.11952203358715, 60.11952203358715
1, 56.27118153664416, 56.27118153664416
1, 52.42284103970116, 52.42284103970116
1, 48.57450054275817, 48.57450054275817
1, 40.87781954887218, 40.87781954887218
1, 44.34227354479617, 44.34227354479617
1, 47.80672754072017, 47.80672754072017
1, 51.27118153664416, 51.27118153664416
1, 54.735635532568146, 54.735635532568146
1, 61.66454352441613, 61.66454352441613
1, 58.20008952849214, 58.20008952849214
1, 54.735635532568146, 54.735635532568146
1, 51.27118153664416, 51.27118153664416
1, 47.80672754072017, 47.80672754072017
1, 40.87781954887218, 40.87781954887218
1, 44.72616004581518, 44.72616004581518
1, 48.57450054275817, 48.57450054275817
1, 52.42284103970116, 52.42284103970116
1, 56.27118153664416, 56.27118153664416
1, 60.11952203358715, 60.11952203358715
1, 63.96786253053014, 63.96786253053014
1, 71.66454352441613, 71.66454352441613

2, 50.89473684210526, 50.89473684210526
2, 50.89473684210526, 50.89473684210526
2, 50.89473684210526, 50.89473684210526
2, 50.89473684210526, 50.89473684210526
2, 50.89473684210526, 50.89473684210526
2, 47.455263157894734, 47.455263157894734
2, 44.01578947368421, 44.01578947368421
2, 40.57631578947368, 40.57631578947368
2, 37.136842105263156, 37.136842105263156
2, 33.69736842105263, 33.69736842105263
2, 30.2578947368421, 30.2578947368421
2, 26.818421052631574, 26.818421052631574
2, 23.378947368421052, 23.378947368421052
2, 16.5, 16.5
2, 17.325, 17.325
2, 18.15, 18.15
2, 18.975, 18.975
2, 19.8, 19.8
2, 20.625, 20.625
2, 21.450000000000003, 21.450000000000003
2, 22.275, 22.275
2, 23.1, 23.1
2, 24.75, 24.75
2, 23.925, 23.925
2, 23.1, 23.1
2, 22.275, 22.275
2, 21.45, 21.45
2, 20.625, 20.625
2, 19.799999999999997, 19.799999999999997
2, 18.975, 18.975
2, 18.15, 18.15
2, 16.5, 16.5
2, 15.675, 15.675
2, 14.85, 14.85
2, 14.024999999999999, 14.024999999999999
2, 13.2, 13.2
2, 12.375, 12.375
2, 11.549999999999999, 11.549999999999999
2, 10.725, 10.725
2, 9.899999999999999, 9.899999999999999
2, 8.25, 8.25
2, 14.225563909774436, 14.225563909774436
2, 20.201127819548873, 20.201127819548873
2, 26.176691729323313, 26.176691729323313
2, 38.12781954887218, 38.12781954887218
2, 32.72086466165413, 32.72086466165413
2, 27.31390977443609, 27.31390977443609
2, 16.5, 16.5
2, 21.906954887218046, 21.906954887218046
2, 27.31390977443609, 27.31390977443609
2, 38.12781954887218, 38.12781954887218
2, 32.72086466165413, 32.72086466165413
2, 27.31390977443609, 27.31390977443609
2, 16.5, 16.5
2, 21.906954887218046, 21.906954887218046
2, 27.31390977443609, 27.31390977443609
2, 38.12781954887218, 38.12781954887218
2, 32.72086466165413, 32.72086466165413
2, 27.31390977443609, 27.31390977443609
2, 16.5, 16.5
2, 16.5, 16.5
2, 16.5, 16.5
2, 16.5, 16.5
2, 16.5, 16.5
2, 16.5, 16.5
2, 16.5, 16.5
2, 16.5, 16.5
2, 16.5, 16.5
2, 16.5, 16.5
2, 19.939473684210526, 19.939473684210526
2, 23.378947368421052, 23.378947368421052
2, 26.818421052631578, 26.818421052631578
2, 30.257894736842104, 30.257894736842104
2, 33.69736842105263, 33.69736842105263
2, 37.136842105263156, 37.136842105263156
2, 40.57631578947368, 40.57631578947368
2, 44.01578947368421, 44.01578947368421
2, 50.89473684210526, 50.89473684210526
2, 42.39473684210526, 42.39473684210526
2, 48.20359435173299, 48.20359435173299
2, 54.01245186136072, 54.01245186136072
2, 59.821309370988445, 59.821309370988445
2, 71.4390243902439, 71.4390243902439
2, 77.3483068908359, 77.3483068908359
2, 83.2575893914279, 83.2575893914279
2, 89.16687189201988, 89.16687189201988
2, 100.98543689320388, 100.98543689320388
2, 100.98543689320388, 100.98543689320388

3, 287.0, 287.0
3, 282.43518518518516, 282.43518518518516
3, 277.8703703703704, 277.8703703703704
3, 273.30555555555554, 273.30555555555554
3, 268.74074074074076, 268.74074074074076
3, 264.1759259259259, 264.1759259259259
3, 259.6111111111111, 259.6111111111111
3, 255.04629629629628, 255.04629629629628

4, 199.0873786407767, 199.0873786407767
4, 193.96890290806968, 193.96890290806968
4, 188.85042717536265, 188.85042717536265
4, 183.73195144265563, 183.73195144265563
4, 178.6134757099486, 178.6134757099486
4, 173.4949999772416, 173.4949999772416
4, 168.37652424453458, 168.37652424453458
4, 163.25804851182755, 163.25804851182755

